source,label,date
Donald Trump,1.0,2017-04-04
Donald Trump,4.0,2017-03-24
Donald Trump,4.0,2017-03-22
Donald Trump,1.0,2017-03-20
Donald Trump,1.0,2017-03-19
Donald Trump,1.0,2017-03-16
Donald Trump,4.0,2017-03-14
Donald Trump,5.0,2017-03-13
Donald Trump,2.0,2017-03-07
Donald Trump,2.0,2017-03-02
Donald Trump,3.0,2017-03-02
Donald Trump,2.0,2017-03-01
Donald Trump,3.0,2017-03-01
Donald Trump,2.0,2017-02-25
Donald Trump,1.0,2017-02-19
Donald Trump,4.0,2017-02-16
Donald Trump,2.0,2017-02-16
Donald Trump,,2017-02-16
Donald Trump,4.0,2017-02-12
Donald Trump,1.0,2017-02-12
Donald Trump,1.0,2017-02-09
Donald Trump,1.0,2017-02-08
Donald Trump,2.0,2017-02-07
Donald Trump,2.0,2017-02-07
Donald Trump,0.0,2017-02-06
Donald Trump,1.0,2017-02-06
Donald Trump,3.0,2017-02-02
Donald Trump,2.0,2017-01-30
Donald Trump,1.0,2017-01-29
Donald Trump,4.0,2017-01-26
Donald Trump,2.0,2017-01-26
Donald Trump,1.0,2017-01-26
Donald Trump,4.0,2017-01-24
Donald Trump,2.0,2017-01-23
Donald Trump,1.0,2017-01-22
Donald Trump,4.0,2017-01-20
Donald Trump,2.0,2017-01-20
Donald Trump,2.0,2017-01-15
Donald Trump,1.0,2017-01-11
Donald Trump,4.0,2017-01-11
Donald Trump,2.0,2017-01-08
Donald Trump,5.0,2017-01-05
Donald Trump,4.0,2017-01-04
Donald Trump,0.0,2016-12-15
Donald Trump,4.0,2016-12-15
Donald Trump,1.0,2016-12-12
Donald Trump,3.0,2016-12-06
Donald Trump,0.0,2016-11-29
Donald Trump,0.0,2016-11-28
Donald Trump,0.0,2016-11-28
Donald Trump,0.0,2016-11-28
Donald Trump,3.0,2016-11-15
Donald Trump,1.0,2016-11-15
Donald Trump,1.0,2016-11-14
Donald Trump,1.0,2016-11-07
Donald Trump,3.0,2016-11-07
Donald Trump,4.0,2016-11-07
Donald Trump,0.0,2016-11-06
Donald Trump,4.0,2016-11-04
Donald Trump,1.0,2016-11-04
Donald Trump,1.0,2016-11-03
Donald Trump,3.0,2016-11-03
Donald Trump,2.0,2016-11-03
Donald Trump,2.0,2016-11-02
Donald Trump,5.0,2016-11-02
Donald Trump,1.0,2016-11-02
Donald Trump,3.0,2016-11-01
Donald Trump,4.0,2016-10-31
Donald Trump,1.0,2016-10-31
Donald Trump,0.0,2016-10-31
Donald Trump,3.0,2016-10-28
Donald Trump,3.0,2016-10-27
Donald Trump,2.0,2016-10-26
Donald Trump,0.0,2016-10-25
Donald Trump,1.0,2016-10-24
Donald Trump,3.0,2016-10-24
Donald Trump,4.0,2016-10-23
Donald Trump,3.0,2016-10-21
Donald Trump,3.0,2016-10-20
Donald Trump,1.0,2016-10-20
Donald Trump,1.0,2016-10-20
Donald Trump,0.0,2016-10-20
Donald Trump,3.0,2016-10-20
Donald Trump,2.0,2016-10-20
Donald Trump,2.0,2016-10-20
Donald Trump,5.0,2016-10-20
Donald Trump,0.0,2016-10-19
Donald Trump,2.0,2016-10-18
Donald Trump,1.0,2016-10-18
Donald Trump,0.0,2016-10-17
Donald Trump,2.0,2016-10-17
Donald Trump,2.0,2016-10-17
Donald Trump,0.0,2016-10-14
Donald Trump,2.0,2016-10-14
Donald Trump,0.0,2016-10-12
Donald Trump,2.0,2016-10-12
Donald Trump,1.0,2016-10-11
Donald Trump,1.0,2016-10-11
Donald Trump,2.0,2016-10-11
Donald Trump,2.0,2016-10-11
Donald Trump,2.0,2016-10-10
Donald Trump,2.0,2016-10-10
Donald Trump,4.0,2016-10-10
Donald Trump,1.0,2016-10-10
Donald Trump,0.0,2016-10-10
Donald Trump,2.0,2016-10-10
Donald Trump,1.0,2016-10-10
Donald Trump,3.0,2016-10-10
Donald Trump,1.0,2016-10-10
Donald Trump,4.0,2016-10-07
Donald Trump,1.0,2016-10-06
Donald Trump,2.0,2016-09-30
Donald Trump,4.0,2016-09-29
Donald Trump,2.0,2016-09-28
Donald Trump,1.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,2.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,5.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,4.0,2016-09-27
Donald Trump,1.0,2016-09-27
Donald Trump,2.0,2016-09-27
Donald Trump,3.0,2016-09-26
Donald Trump,3.0,2016-09-23
Donald Trump,0.0,2016-09-22
Donald Trump,1.0,2016-09-21
Donald Trump,5.0,2016-09-21
Donald Trump,4.0,2016-09-19
Donald Trump,0.0,2016-09-16
Donald Trump,1.0,2016-09-16
Donald Trump,,2016-09-16
Donald Trump,0.0,2016-09-14
Donald Trump,4.0,2016-09-14
Donald Trump,5.0,2016-09-13
Donald Trump,3.0,2016-09-12
Donald Trump,0.0,2016-09-09
Donald Trump,1.0,2016-09-09
Donald Trump,2.0,2016-09-08
Donald Trump,2.0,2016-09-08
Donald Trump,1.0,2016-09-08
Donald Trump,1.0,2016-09-07
Donald Trump,3.0,2016-09-06
Donald Trump,2.0,2016-09-02
Donald Trump,3.0,2016-09-02
Donald Trump,4.0,2016-09-01
